"","case_order","uid","state","county","zip","lat","lng","area","time_zone","children","age","income","marital","gender","churn","outage_sec_perweek","email","contacts","yearly_equip_failure","techie","contract","port_modem","tablet","internet_service","phone","multiple","online_security","online_backup","device_protection","tech_support","streaming_tv","streaming_movies","paperless_billing","payment_method","tenure","monthly_charge","bandwidth_gb_year","item1","item2","item3","item4","item5","item6","item7","item8"
"27",33,"Other","WA","Other",98572,46.5512,-123.32437,"Rural","America/Los_Angeles",6,82,51960.51,"Divorced","Female","Yes",8.774646693,9,0,0,"No","Month-to-month","Yes","Yes","Fiber Optic","Yes","No","No","Yes","No","No","Yes","Yes","Yes","Electronic Check",4.727388465,230.105118,1013.993166,4,4,4,5,2,5,3,5
"28",34,"Other","MI","Other",49883,46.43517,-86.01334,"Rural","America/Detroit",5,74,25942.1,"Separated","Male","Yes",11.13156721,8,1,1,"No","Month-to-month","No","No","DSL","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Electronic Check",20.89923386,174.958118,2680.762173,5,5,4,3,5,3,4,1
"29",35,"Other","IL","Other",60921,40.73772,-88.28785,"Urban","America/Chicago",4,69,11211.59,"Widowed","Male","Yes",5.540788887,15,1,0,"No","One year","Yes","No","Fiber Optic","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Mailed Check",3.471329958,267.664655,1081.814362,6,5,5,5,2,6,5,5
"30",36,"Other","MI","Other",49224,42.28109,-84.75184,"Suburban","America/Detroit",1,52,8283.29,"Never Married","Male","Yes",13.80362698,11,0,1,"No","Month-to-month","Yes","No","DSL","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","Mailed Check",5.478588204,162.483267,1209.961168,4,2,3,4,3,3,4,3
"31",37,"Other","CT","Other",6447,41.63306,-72.45472,"Suburban","America/New_York",2,26,10114.81,"Never Married","Female","Yes",16.31017089,16,1,1,"No","Month-to-month","Yes","No","Fiber Optic","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Credit Card (automatic)",3.312991809,229.993134,897.5919144,4,3,5,5,2,4,5,5
"32",38,"Other","NJ","Other",7848,41.10336,-74.68407,"Urban","America/New_York",1,25,36229.21,"Never Married","Female","No",9.447065309,9,2,0,"No","One year","Yes","Yes","DSL","Yes","Yes","Yes","No","Yes","No","No","No","Yes","Electronic Check",7.161561527,140.00128,1340.930156,5,6,4,2,5,3,3,3
"33",39,"Other","Other","Other",20017,38.93845,-76.99317,"Suburban","America/New_York",1,66,25397.44,"Divorced","Female","No",16.84100845,12,1,0,"No","Two Year","Yes","No","Fiber Optic","Yes","No","Yes","Yes","No","Yes","No","Yes","No","Credit Card (automatic)",9.847563364,184.964681,1113.993679,4,4,3,4,2,4,4,5
"34",40,"Other","PA","Other",18917,40.37305,-75.2041,"Suburban","America/New_York",1,72,50336.5,"Divorced","Male","No",7.972937227,10,1,1,"No","Two Year","Yes","No","Fiber Optic","Yes","No","No","Yes","Yes","No","No","No","No","Electronic Check",16.04202196,147.473844,1530.10769,3,4,3,6,4,4,6,2
"35",41,"Other","NJ","Other",8738,40.02145,-74.06183,"Urban","America/New_York",3,21,38211.37,"Divorced","Female","No",11.42906608,12,1,0,"No","Month-to-month","No","No","Fiber Optic","Yes","No","No","Yes","Yes","No","Yes","No","Yes","Mailed Check",9.179779682,172.457857,1310.137419,5,2,3,3,3,5,4,4
"36",42,"Other","PA","Other",16682,40.26608,-78.45782,"Suburban","America/New_York",3,55,52887.26,"Married","Male","No",8.06137096,16,2,0,"No","Month-to-month","Yes","No","DSL","Yes","No","Yes","No","No","Yes","No","No","Yes","Electronic Check",3.002844144,107.481989,892.8964931,3,3,2,3,5,4,3,3
"37",43,"Other","OK","Other",73458,34.35204,-97.25336,"Suburban","America/Chicago",4,41,12003.33,"Divorced","Male","Yes",12.54780492,11,1,2,"No","Two Year","Yes","No","Fiber Optic","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","Credit Card (automatic)",3.924254455,255.141716,1125.581944,3,3,3,5,1,4,3,4
"38",44,"Other","PA","Other",15748,40.52449,-79.08432,"Suburban","America/New_York",4,32,24090.62,"Never Married","Male","No",8.255565152,13,0,0,"No","Two Year","Yes","Yes","Fiber Optic","Yes","Yes","No","No","No","Yes","No","Yes","Yes","Electronic Check",18.55959629,192.456745,2016.710031,3,3,3,3,4,3,3,4
"39",45,"Other","NY","Other",10035,40.7955,-73.92968,"Rural","America/New_York",0,22,15137.93,"Never Married","Female","Yes",13.156514,6,0,0,"No","Two Year","Yes","No","Fiber Optic","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Credit Card (automatic)",8.798394712,242.632554,1412.736809,4,4,4,4,3,4,3,4
"40",46,"Other","MI","Other",49881,46.07835,-88.03348,"Urban","Other",2,44,54458.38,"Divorced","Female","Yes",10.58349704,5,1,0,"No","Month-to-month","Yes","Yes","None","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Electronic Check",10.377366,245.174977,1710.689671,3,3,2,2,4,3,5,2
"41",48,"Other","WA","Other",98220,48.68497,-122.19692,"Suburban","America/Los_Angeles",3,43,37358.13,"Never Married","Female","Yes",9.750038902,11,1,0,"Yes","Month-to-month","No","No","Fiber Optic","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Credit Card (automatic)",9.427146079,195.006206,1213.940165,4,5,3,4,3,3,4,3
"42",49,"Other","TN","Hamilton",37416,35.10444,-85.17661,"Rural","America/New_York",1,86,26534.16,"Separated","Female","No",7.868660851,11,2,2,"No","Two Year","Yes","No","None","Yes","No","No","No","No","No","Yes","No","No","Bank Transfer(automatic)",7.760290062,104.962874,740.010722,3,4,3,2,3,3,3,3
"43",50,"Other","ND","Other",58341,47.77527,-99.85,"Suburban","America/Chicago",2,84,76430.83,"Married","Female","No",12.43563329,14,0,1,"No","Month-to-month","No","Yes","None","Yes","No","No","No","No","Yes","No","No","Yes","Electronic Check",11.56938439,92.488023,897.9716153,3,3,4,3,5,3,3,4
"44",51,"Other","AL","Other",35072,33.08977,-86.06138,"Urban","America/Chicago",2,62,4662.37,"Separated","Female","Yes",8.957166926,13,3,0,"No","Month-to-month","Yes","No","DSL","Yes","Yes","No","No","Yes","Yes","No","Yes","No","Bank Transfer(automatic)",3.343811019,184.979684,1026.387172,2,2,3,4,3,5,2,4
"45",52,"Other","NC","Other",27292,35.73451,-80.20925,"Urban","America/New_York",5,68,43820.85,"Divorced","Female","Yes",8.015021713,12,1,0,"No","Month-to-month","Yes","No","None","Yes","No","No","No","Yes","No","Yes","Yes","Yes","Credit Card (automatic)",7.338869531,187.656013,1234.244324,2,3,3,5,4,2,3,2
"46",53,"Other","LA","Other",71286,32.6644,-91.19645,"Suburban","America/Chicago",1,59,38391.55,"Never Married","Female","No",4.210347704,8,0,0,"No","Month-to-month","No","No","Fiber Optic","Yes","No","No","No","Yes","No","Yes","No","Yes","Electronic Check",5.486534225,149.962093,727.3731845,4,4,4,3,4,2,5,4
"47",54,"Other","IA","Other",50551,42.47954,-94.75105,"Urban","America/Chicago",0,31,44137.6,"Separated","Female","Yes",11.13960534,6,0,0,"Yes","One year","No","No","Fiber Optic","Yes","Yes","No","No","No","No","Yes","No","Yes","Credit Card (automatic)",1.55278221,169.944668,452.8721504,4,4,3,4,4,4,2,3
"48",55,"Other","NE","Other",68858,40.95947,-99.37702,"Urban","America/Chicago",0,51,14364.65,"Widowed","Male","Yes",9.03738856,11,2,0,"No","Month-to-month","Yes","No","Fiber Optic","Yes","Yes","Yes","No","Yes","No","No","No","Yes","Mailed Check",12.07970325,160.00128,1296.674543,4,2,4,5,4,3,3,4
"49",56,"Other","WV","Other",24801,37.44262,-81.57762,"Suburban","America/New_York",1,58,62359.91,"Separated","Female","No",10.91594785,11,1,1,"No","One year","No","No","DSL","Yes","No","No","No","Yes","No","Yes","No","No","Mailed Check",13.98666226,129.962093,1840.628269,3,4,3,6,3,4,5,3
"50",57,"Other","TX","Other",77511,29.38147,-95.24205,"Suburban","America/Chicago",1,73,82634.86,"Married","Male","Yes",8.387624096,11,0,1,"No","Month-to-month","No","No","DSL","Yes","No","No","Yes","No","No","No","No","Yes","Electronic Check",9.563362997,114.950905,1324.330108,5,4,3,5,3,3,5,4
"51",59,"Other","WI","Other",53403,42.68864,-87.82515,"Suburban","America/Chicago",1,58,14568.7,"Separated","Male","Yes",10.22013704,15,2,0,"No","Two Year","Yes","No","None","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Credit Card (automatic)",15.72071086,220.14775,1868.864027,3,5,3,2,4,5,5,4
"52",60,"Other","GA","Other",31011,32.12693,-83.06218,"Rural","America/New_York",0,49,29207.46,"Never Married","Female","No",8.425458142,9,1,0,"No","Two Year","No","No","Fiber Optic","Yes","No","No","No","Yes","No","No","No","Yes","Electronic Check",7.233605493,124.97808,676.712908,5,5,3,4,4,5,5,4
"53",61,"Other","OK","Other",74455,35.3619,-95.26371,"Suburban","America/Chicago",1,26,55319.23,"Never Married","Female","No",8.386280619,12,1,0,"No","One year","No","Yes","DSL","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","Mailed Check",2.871017037,164.964681,1086.990308,5,5,4,4,3,4,4,4
"54",62,"Other","IL","Other",61734,40.37342,-89.52646,"Urban","America/Chicago",1,25,81831.49,"Widowed","Male","No",9.565924291,10,3,0,"No","Month-to-month","Yes","No","Fiber Optic","Yes","Yes","No","No","Yes","Yes","Yes","No","No","Electronic Check",2.344875382,194.976769,704.7540406,3,4,3,2,3,4,2,4
"55",63,"Other","PA","Other",18618,41.37478,-76.03486,"Rural","America/New_York",0,42,100076.65,"Separated","Female","Yes",10.79349982,14,3,0,"No","Month-to-month","Yes","No","DSL","Yes","No","Yes","Yes","No","No","No","Yes","Yes","Mailed Check",7.960490246,152.455519,1416.444695,5,5,5,4,3,2,4,4
"56",64,"Other","AZ","Other",85925,34.088,-109.3232,"Rural","America/Phoenix",1,81,69965.65,"Widowed","Male","No",6.081975067,15,0,0,"No","Month-to-month","No","Yes","None","Yes","No","No","No","Yes","No","No","No","No","Mailed Check",12.25062113,92.5018,1095.950634,5,5,5,3,4,3,2,5
"57",65,"Other","NC","Other",27805,36.20782,-77.08433,"Suburban","America/New_York",1,43,34883.69,"Divorced","Female","No",13.55065547,13,0,0,"Yes","Month-to-month","No","Yes","None","Yes","No","No","No","Yes","No","No","Yes","Yes","Electronic Check",9.634946079,127.488728,1083.610268,4,4,4,3,4,4,3,3
"58",66,"Other","CA","Other",95245,38.29793,-120.62131,"Urban","America/Los_Angeles",2,63,45634.2,"Never Married","Male","No",9.470419821,14,1,0,"No","Two Year","Yes","No","DSL","Yes","Yes","No","Yes","Yes","No","Yes","No","No","Bank Transfer(automatic)",7.916533093,184.963371,1570.641337,3,4,3,3,4,4,4,3
"59",67,"Other","IL","Other",60090,42.1295,-87.92197,"Suburban","America/Chicago",3,70,10964.73,"Married","Female","Yes",6.194985909,11,0,1,"No","Month-to-month","Yes","No","Fiber Optic","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Bank Transfer(automatic)",4.471254161,265.146969,1007.425553,3,3,2,4,4,3,3,3
"60",69,"Other","TX","Other",79364,33.45204,-101.64305,"Urban","America/Chicago",0,48,52636.6,"Separated","Male","No",7.903964267,17,0,1,"No","Month-to-month","Yes","Yes","DSL","Yes","Yes","Yes","No","No","No","Yes","No","No","Electronic Check",12.24190682,152.462354,1808.730555,3,1,2,2,5,2,2,1
"61",70,"Other","Other","Other",82716,44.48072,-105.68542,"Suburban","America/Denver",1,63,19048.13,"Separated","Female","Yes",11.27443693,18,2,1,"Yes","Month-to-month","Yes","No","DSL","Yes","No","No","No","Yes","No","Yes","Yes","Yes","Credit Card (automatic)",2.203859443,200.132293,1120.241472,4,4,4,5,4,4,4,3
"62",72,"Other","OH","Other",44133,41.31414,-81.74522,"Rural","America/New_York",0,87,77996.88,"Divorced","Male","Yes",7.969277912,17,0,0,"Yes","One year","Yes","No","DSL","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Bank Transfer(automatic)",3.7311787,255.119794,1268.086909,3,3,4,5,4,3,5,4
"63",73,"Other","OH","Other",43907,40.25609,-81.02123,"Suburban","America/New_York",3,54,47507.3,"Married","Female","No",4.368120492,9,0,0,"No","Two Year","Yes","No","Fiber Optic","Yes","No","No","Yes","No","No","No","No","Yes","Bank Transfer(automatic)",7.980015371,134.950905,822.6771666,2,3,3,3,5,2,2,3
"64",74,"Other","MT","Other",59242,48.43505,-104.4389,"Urban","America/Denver",3,35,7724.73,"Divorced","Male","Yes",6.258356398,9,0,1,"No","Month-to-month","Yes","No","Fiber Optic","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Electronic Check",9.190009376,255.137219,1577.915603,4,3,2,3,3,3,3,4
"65",75,"Other","CA","Other",92131,32.89431,-117.08013,"Urban","America/Los_Angeles",1,70,1509.52,"Never Married","Male","Yes",12.92303286,16,0,0,"No","Month-to-month","No","No","Fiber Optic","Yes","Yes","No","Yes","Yes","No","No","Yes","No","Bank Transfer(automatic)",2.378630018,214.966286,648.7471776,4,4,4,5,2,3,4,4
"66",76,"Other","CA","Los Angeles",90303,33.9381,-118.3323,"Rural","America/Los_Angeles",2,67,81124.71,"Married","Female","Yes",12.43301273,13,0,0,"No","One year","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Electronic Check",5.43464555,270.160419,1648.102673,3,3,4,3,5,3,3,4
"67",77,"Other","VA","Other",20119,38.6184,-77.62493,"Rural","America/New_York",4,46,11795.57,"Widowed","Female","Yes",7.607663559,11,0,0,"No","Two Year","No","No","None","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Electronic Check",1.092361222,200.165175,768.0874545,1,1,2,2,3,1,3,2
"68",78,"Other","KY","Other",42274,36.94686,-86.60235,"Urban","America/Chicago",1,50,74794.84,"Never Married","Male","No",7.442789019,10,2,1,"No","Two Year","No","No","DSL","Yes","No","No","Yes","No","No","No","Yes","No","Bank Transfer(automatic)",20.13981517,149.937833,2426.030626,2,2,3,4,3,3,4,4
"69",79,"Other","IL","Other",62631,39.82437,-90.36129,"Rural","America/Chicago",1,24,19038.78,"Never Married","Female","Yes",13.04429298,18,1,0,"No","Month-to-month","No","Yes","Fiber Optic","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Mailed Check",24.64873861,240.114868,2660.503932,4,4,5,1,4,4,3,3
"70",80,"Other","MN","Other",56345,45.98881,-94.37486,"Rural","America/Chicago",0,20,79167.77,"Divorced","Male","No",14.89762162,17,0,0,"No","Month-to-month","No","Yes","Fiber Optic","Yes","No","Yes","No","Yes","No","No","No","Yes","Credit Card (automatic)",9.677739656,127.495766,1129.549713,3,4,3,4,5,4,3,3
"71",81,"Other","FL","Orange",32804,28.57725,-81.39726,"Urban","America/New_York",1,29,37428.26,"Married","Female","Yes",13.79387475,13,2,1,"No","One year","Yes","No","DSL","Yes","No","No","No","No","No","Yes","Yes","No","Electronic Check",9.82814183,187.609354,1771.286466,3,4,3,2,5,3,3,4
"72",82,"Other","PA","Washington",15348,39.9883,-79.99619,"Rural","America/New_York",0,31,45148.38,"Divorced","Male","No",15.66367593,6,1,0,"Yes","Month-to-month","Yes","No","Fiber Optic","Yes","Yes","No","No","Yes","Yes","No","No","No","Credit Card (automatic)",7.832238337,169.992756,943.3391244,3,3,3,4,4,3,4,4
"73",83,"Other","MI","Other",49881,46.07835,-88.03348,"Urban","Other",5,72,74855.47,"Separated","Female","No",8.513410306,13,3,0,"No","Two Year","Yes","No","Fiber Optic","Yes","Yes","No","No","No","Yes","No","Yes","No","Mailed Check",19.45250317,192.456745,1907.226083,4,4,4,3,1,5,4,4
"74",84,"Other","KY","Other",42757,37.40057,-85.72074,"Urban","America/Chicago",4,71,45323.86,"Divorced","Male","No",8.265002035,10,1,0,"No","Month-to-month","No","Yes","DSL","Yes","No","Yes","No","Yes","Yes","No","No","Yes","Credit Card (automatic)",14.34766616,120.004928,1885.939118,4,4,3,3,4,3,2,5
"75",85,"Other","KS","Other",67448,38.65158,-97.41275,"Suburban","America/Chicago",2,32,71596.14,"Divorced","Female","No",8.6026551,11,0,0,"No","One year","Yes","No","Fiber Optic","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Bank Transfer(automatic)",2.257358355,195.006206,631.7435653,5,3,5,5,3,3,5,2
"76",86,"Other","VA","Other",22306,38.75669,-77.0929,"Rural","America/New_York",0,33,10389.95,"Never Married","Male","No",6.03993035,15,1,0,"No","One year","No","No","Fiber Optic","Yes","No","Yes","No","No","No","Yes","No","Yes","Credit Card (automatic)",2.358129018,139.95684,562.6095219,3,3,4,3,3,4,3,6
"77",87,"Other","PA","Other",17255,40.1613,-77.86247,"Suburban","America/New_York",3,67,19657.14,"Widowed","Male","No",14.6040829,12,3,0,"Yes","Month-to-month","No","No","None","Yes","No","No","Yes","No","Yes","No","No","Yes","Bank Transfer(automatic)",4.650578623,114.983787,593.8572264,3,3,2,2,5,4,2,3
"78",88,"Other","IL","Other",60636,41.77576,-87.66912,"Suburban","America/Chicago",0,66,27827.03,"Divorced","Female","Yes",7.274007029,13,1,1,"No","Month-to-month","Yes","No","None","Yes","Yes","No","No","No","No","Yes","Yes","No","Electronic Check",3.721772616,207.638588,777.3060718,4,3,3,6,1,4,3,3
"79",90,"Other","CA","Other",96117,40.54621,-120.23999,"Urban","America/Los_Angeles",0,61,19815.63,"Never Married","Female","No",11.59313893,13,0,2,"No","One year","Yes","Yes","Fiber Optic","Yes","No","No","Yes","No","No","No","No","Yes","Bank Transfer(automatic)",4.151256695,134.950905,393.6524652,3,2,3,4,3,4,5,4
"80",92,"Other","MA","Other",2771,41.83778,-71.31735,"Urban","America/New_York",0,63,41656.53,"Widowed","Female","Yes",15.19664016,9,1,0,"No","Month-to-month","Yes","Yes","DSL","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Mailed Check",13.85488928,222.628057,2138.107161,3,2,3,2,4,3,2,4
"81",93,"Other","MI","Other",49274,41.83849,-84.76277,"Suburban","America/Detroit",0,68,115510.46,"Separated","Female","No",5.083995994,3,1,0,"No","Two Year","Yes","No","Fiber Optic","Yes","No","Yes","No","No","Yes","No","Yes","Yes","Electronic Check",3.273341151,162.468917,443.984031,2,2,2,4,3,3,4,3
"82",94,"Other","LA","Other",71104,32.48494,-93.73255,"Suburban","America/Chicago",2,32,15841.19,"Never Married","Male","Yes",6.942719201,7,1,1,"No","Two Year","Yes","No","DSL","Yes","Yes","No","Yes","Yes","No","No","No","No","Electronic Check",19.75096265,159.979358,2481.385603,2,2,3,3,3,3,3,3
"83",95,"Other","FL","Other",33576,28.32589,-82.32911,"Suburban","America/New_York",0,76,81127.41,"Never Married","Male","No",9.834012571,7,1,0,"No","Two Year","No","Yes","DSL","Yes","Yes","No","No","Yes","Yes","No","Yes","Yes","Mailed Check",18.38404445,184.979684,2233.567181,3,2,3,4,2,4,5,3
